# Parameter_Name,Categories(pipe)|<ALL>=universal
ARCH_TAG_7_PARA_VERT_CIRC_TXT,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Stairs|Ramps|Casework|Furniture|Curtain Panels|Railings|Generic Models|Specialty Equipment
ARCH_TAG_7_PARA_WALL_TXT,Walls|Curtain Panels|Curtain Wall Mullions
ARCH_TAG_7_PARA_WASH_TXT,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Stairs|Ramps|Casework|Furniture|Curtain Panels|Railings|Generic Models|Specialty Equipment
ARCH_TAG_7_PARA_WIN_TXT,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Stairs|Ramps|Casework|Furniture|Curtain Panels|Railings|Generic Models|Specialty Equipment
ARCH_TAG_7_PARA_ZONES_TXT,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Stairs|Ramps|Casework|Furniture|Curtain Panels|Railings|Generic Models|Specialty Equipment
ARC_FACTORY_ORDER_REF_TXT,<ALL>
ARC_GLAZING_SPEC_TXT,<ALL>
AREA_SQ_M,<ALL>
ASBUILT_CAPTURE_DATE_TXT,<ALL>
ASBUILT_COVER_DEVIATION_MM,<ALL>
ASBUILT_COVER_DEVIATION_MM_DISP_TXT,<ALL>
ASBUILT_DEVIATION_MM,<ALL>
ASBUILT_DEVIATION_MM_DISP_TXT,<ALL>
ASS_ACCESS_PERF_TXT,<ALL>
ASS_AREA_M2_TXT,<ALL>
ASS_ASSEMBLY_CODE_TXT,<ALL>
ASS_ASSEMBLY_DESC_TXT,<ALL>
ASS_ASSET_ID_TXT,<ALL>
ASS_BARCODE_TXT,<ALL>
ASS_BMS_ADDRESS_TXT,<ALL>
ASS_BOLT_COUNT_NR,<ALL>
ASS_BOM_REV_TXT,<ALL>
ASS_BOQ_LINE_REF,<ALL>
ASS_BOQ_SECTION_NAME,<ALL>
ASS_BOUNDING_VOL_CU_M,<ALL>
ASS_CAPACITY_TXT,<ALL>
ASS_CAT_TXT,<ALL>
ASS_CDE_STATUS_TXT,<ALL>
ASS_CDE_SUITABILITY_TXT,<ALL>
ASS_CLASS_COD_TXT,<ALL>
ASS_CLASS_DESC_TXT,<ALL>
ASS_CODE_PERF_TXT,<ALL>
ASS_COLOR_TXT,<ALL>
ASS_CONDITION_DATE_TXT,<ALL>
ASS_CONDITION_TXT,<ALL>
ASS_CONNECTED_ELEMENTS_TXT,<ALL>
ASS_CONSTITUENTS_TXT,<ALL>
ASS_CRITICALITY_RATING_NR,<ALL>
ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,<ALL>
ASS_CST_AS_OF_DT,<ALL>
ASS_CST_CURRENCY_TXT,<ALL>
ASS_CST_FX_DATE_DT,<ALL>
ASS_CST_FX_TO_BASE_NR,<ALL>
ASS_CST_FX_TO_BASE_NR_DISP_TXT,<ALL>
ASS_CST_INSTALL_UGX_NR,<ALL>
ASS_CST_LIFECYCLE_UGX_NR,<ALL>
ASS_CST_QUANTITY_NR,<ALL>
ASS_CST_STALE_BOOL,<ALL>
ASS_CST_STALE_REASON_TXT,<ALL>
ASS_CST_TOTAL_UGX_NR,<ALL>
ASS_CST_UNIT_PRICE_UGX_NR,<ALL>
ASS_CST_UNIT_RATE_NR,<ALL>
ASS_CST_UNIT_RATE_NR_DISP_TXT,<ALL>
ASS_CUT_COUNT_NR,<ALL>
ASS_DEPARTMENT_ASSIGNMENT_TXT,<ALL>
ASS_DESCRIPTION_TXT,<ALL>
ASS_DESIGN_LTG_LVL_LUX_NR,<ALL>
ASS_DESIGN_OCCUPANCY_INT,<ALL>
ASS_DESIGN_OPTION_TXT,<ALL>
ASS_DISCIPLINES_TXT,<ALL>
ASS_DISCIPLINE_COD_TXT,<ALL>
ASS_DISPLAY_TXT,<ALL>
ASS_DRIVE_TXT,<ALL>
ASS_DUR_UNIT_TXT,<ALL>
ASS_ELEVATION_M,<ALL>
ASS_EQUIPMENT_TAG_TXT,<ALL>
ASS_EXPECTED_LIFE_YEARS_YRS,<ALL>
ASS_FAB_LOC_TXT,<ALL>
ASS_FAB_NOTES_TXT,<ALL>
ASS_FAB_SEQ_NR,<ALL>
ASS_FAB_STATUS_TXT,<ALL>
ASS_FAMILY_NAME_TXT,<ALL>
ASS_FEATURES_TXT,<ALL>
ASS_FINISH_TXT,<ALL>
ASS_FITTING_COUNT_NR,<ALL>
ASS_FLANGE_COUNT_NR,<ALL>
ASS_FLOW_RATE_TXT,<ALL>
ASS_FUNC_TXT,<ALL>
ASS_GRADE_TXT,<ALL>
ASS_GRID_DIST_NR,<ALL>
ASS_GRID_REF_TXT,<ALL>
ASS_GRID_X_ID_INT,<ALL>
ASS_GRID_Y_ID_INT,<ALL>
ASS_HOST_ELEMENT_TXT,<ALL>
ASS_HOST_TYPE_TXT,<ALL>
ASS_ID_TXT,<ALL>
ASS_INHERIT_STATUS_TXT,<ALL>
ASS_INSPECT_FREQ_TXT,<ALL>
ASS_INSTALLATION_DATE_TXT,<ALL>
ASS_INSTALL_DATE_TXT,<ALL>
ASS_INST_DATE_TXT,<ALL>
ASS_INST_DETAIL_NUM_TXT,<ALL>
ASS_INST_DETAIL_TXT,<ALL>
ASS_INSULATION_AREA_M2,<ALL>
ASS_ITEM_CODE_TXT,<ALL>
ASS_KEYNOTE_TXT,<ALL>
ASS_LAST_PARA_CONTAINER_TXT,<ALL>
ASS_LAST_TOKEN_HASH_TXT,<ALL>
ASS_LENGTH_TOTAL_MM,<ALL>
ASS_LOCAL_SERVICE_AVAILABLE_TXT,<ALL>
ASS_LOC_SOURCE_TXT,<ALL>
ASS_LOC_TXT,<ALL>
ASS_LOD_VERIFIED_TXT,<ALL>
ASS_LVL_COD_TXT,<ALL>
ASS_LVL_ELEM_ID_INT,<ALL>
ASS_MAINTENANCE_FREQUENCY_MONTHS,<ALL>
ASS_MAINTENANCE_SCHEDULE_TXT,<ALL>
ASS_MAINT_INTERVAL_TXT,<ALL>
ASS_MAINT_NEXT_TXT,<ALL>
ASS_MANUFACTURER_TXT,<ALL>
ASS_MATERIAL_TXT,<ALL>
ASS_MEP_SYS_NAME_TXT,<ALL>
ASS_MODEL_NR_TXT,<ALL>
ASS_MODEL_REF_TXT,<ALL>
ASS_NOM_HEIGHT_TXT,<ALL>
ASS_NOM_LENGTH_TXT,<ALL>
ASS_NOM_WIDTH_TXT,<ALL>
ASS_NOTES_TXT,<ALL>
ASS_NRM2_PARA_AUTHOR_TXT,<ALL>
ASS_NRM2_PARA_DATE_TXT,<ALL>
ASS_NRM2_PARA_PREV_TXT,<ALL>
ASS_NRM2_PARA_TXT,<ALL>
ASS_NRM_CODE_TXT,<ALL>
ASS_NUMBER_OF_DAT_OUTLETS_INT,<ALL>
ASS_NUMBER_OF_PWR_OUTLETS_INT,<ALL>
ASS_OANDM_MANUALS_PROVIDED_TXT,<ALL>
ASS_OMNICLASS_TXT,<ALL>
ASS_OPTION_PRIMARY_BOOL,<ALL>
ASS_OPTION_SET_TXT,<ALL>
ASS_ORIGINATOR_COD_TXT,<ALL>
ASS_ORIGIN_TXT,<ALL>
ASS_PART_NUMBER_TXT,<ALL>
ASS_PHASE_CREATED_TXT,<ALL>
ASS_PHASE_DEMOLISHED_TXT,<ALL>
ASS_PLACE_ANCHOR_TXT,<ALL>
ASS_PLACE_OFFSET_X_MM,<ALL>
ASS_PLACE_SIDE_TXT,<ALL>
ASS_PMT_CERT_DATE_DT,<ALL>
ASS_PMT_CERT_NO_NR,<ALL>
ASS_PMT_CERT_NO_NR_DISP_TXT,<ALL>
ASS_PMT_CST_LABOUR_CST_UGX_NR,<ALL>
ASS_PMT_CST_MAT_CST_UGX_NR,<ALL>
ASS_PMT_CST_TOTAL_CST_UGX_NR,<ALL>
ASS_PMT_CST_UNIT_RATE_UGX_NR,<ALL>
ASS_PMT_INV_UNIT_TXT,<ALL>
ASS_PMT_LAST_VALUED_DT,<ALL>
ASS_PMT_PCT_COMPLETE_NR,<ALL>
ASS_PMT_PCT_COMPLETE_NR_DISP_TXT,<ALL>
ASS_PMT_PRO_DELIVERY_DATE_TXT,<ALL>
ASS_PMT_PRO_PO_NR_TXT,<ALL>
ASS_PMT_PRO_SUPPLIER_TXT,<ALL>
ASS_PMT_QTY_ORDERED_NR,<ALL>
ASS_POWER_RATING_TXT,<ALL>
ASS_PRODCT_COD_TXT,<ALL>
ASS_PROD_DETECT_TXT,<ALL>
ASS_PROD_PATTERN_SRC_TXT,<ALL>
ASS_PROJECT_COD_TXT,<ALL>
ASS_PROJECT_TXT,<ALL>
ASS_QA_CERT_TXT,<ALL>
ASS_QA_TEST_REPORT_TXT,<ALL>
ASS_QC_INSPECTOR_TXT,<ALL>
ASS_REV_COD_TXT,<ALL>
ASS_REV_TXT,<ALL>
ASS_RM_COD_TXT,<ALL>
ASS_ROOM_AREA_SQ_M,<ALL>
ASS_ROOM_FUNCTION_USE_TXT,<ALL>
ASS_ROOM_HEIGHT_MM,<ALL>
ASS_ROOM_NAME_TXT,<ALL>
ASS_ROOM_NUM_TXT,<ALL>
ASS_ROOM_VOLUME_CU_M,<ALL>
ASS_SEQ_NUM_TXT,<ALL>
ASS_SERIAL_NR_TXT,<ALL>
ASS_SHAPE_TXT,<ALL>
ASS_SHIP_DATE_TXT,<ALL>
ASS_SIZE_TXT,<ALL>
ASS_SKIRTING_TYPE_TXT,<ALL>
ASS_SPOOL_DRAWING_REF_TXT,<ALL>
ASS_SPOOL_NR_TXT,<ALL>
ASS_STALE_TOKENS_TXT,<ALL>
ASS_STATUS_TXT,<ALL>
ASS_SUPPLIER_TXT,<ALL>
ASS_SUPPORT_COUNT_NR,<ALL>
ASS_SUSTAIN_PERF_TXT,<ALL>
ASS_SYSTEMS_TXT,<ALL>
ASS_SYSTEM_TYPE_TXT,<ALL>
ASS_SYS_DETECT_LAYER_INT,<ALL>
ASS_TAG_1_TXT,<ALL>
ASS_TAG_2_TXT,<ALL>
ASS_TAG_3D_TXT,<ALL>
ASS_TAG_3_TXT,<ALL>
ASS_TAG_4_TXT,<ALL>
ASS_TAG_5_TXT,<ALL>
ASS_TAG_6_TXT,<ALL>
ASS_TAG_7A_TXT,<ALL>
ASS_TAG_7B_TXT,<ALL>
ASS_TAG_7C_TXT,<ALL>
ASS_TAG_7D_TXT,<ALL>
ASS_TAG_7E_TXT,<ALL>
ASS_TAG_7F_TXT,<ALL>
ASS_TAG_7_PARA_EQUIPMENT_TXT,<ALL>
ASS_TAG_7_PARA_EQUIP_TXT,<ALL>
ASS_TAG_7_TXT,<ALL>
ASS_TAG_MODIFIED_BY_TXT,<ALL>
ASS_TAG_MODIFIED_DT,<ALL>
