# This is a Revit shared parameter file.
# Do not edit manually.
*META	VERSION	MINVERSION
META	2	1
*GROUP	ID	NAME
GROUP	1	ASS_MNG
GROUP	2	CST_PROC
GROUP	3	COM_DAT
GROUP	4	ELC_PWR
GROUP	5	HVC_SYSTEMS
GROUP	6	PLM_DRN
GROUP	7	LTG_CONTROLS
GROUP	8	FLS_LIFE_SFTY
GROUP	9	PER_SUST
GROUP	10	BLE_ELES
GROUP	11	TPL_TRACKING
GROUP	12	MAT_INFO
GROUP	13	PRJ_INFORMATION
GROUP	14	PROP_PHYSICAL
GROUP	15	RGL_CMPL
GROUP	16	BLE_STRUCTURE
GROUP	17	STINGTags_ISO19650
GROUP	18	WARN_THRESHOLDS
GROUP	19	SLV_SLEEVE_PARAMS
GROUP	20	CLASH_COORDINATION
GROUP	21	ACC_SYNC
GROUP	22	IFC_EXCH
GROUP	23	HEALTH_METRICS
GROUP	24	ASBUILT
GROUP	25	COMMISSIONING
GROUP	26	TBL_TITLEBLOCK
GROUP	27	STING_DRAWING
GROUP	28	CLN_CLINICAL
GROUP	29	MGS_SYSTEMS
GROUP	30	RAD_PROTECTION
GROUP	31	CEQ_CLINICAL
GROUP	32	LIG_BEHAVIOURAL
GROUP	33	Identity
GROUP	34	Routing
*PARAM	GUID	NAME	DATATYPE	DATACATEGORY	GROUP	VISIBLE	DESCRIPTION	USERMODIFIABLE
PARAM	711abfdb-7127-56c1-b3f5-7f318171812d	BLE_CEILING_LIGHT_REFLECTANCE_PCT	TEXT		2	1	Ble Ceiling Light Reflectance Pct [ISO 19650-1:2018]	1
PARAM	38f20d97-20e0-5896-a8c5-ac8e20d9beb3	BLE_CEILING_MAT_TXT	TEXT		2	1	Ble Ceiling Mat Txt [ISO 19650-1:2018]	1
PARAM	9d7fa63d-6e32-508e-9487-30ed356c33dd	BLE_CEILING_NOISE_REDUCTION_COEFFICIENT_NRC_NR	TEXT		2	1	Ble Ceiling Noise Reduction Coefficient Nrc Nr [ISO 19650-1:2018]	1
PARAM	89086f07-8684-5f07-9d15-dcdd19a6bdfd	BLE_CEILING_PLENUM_HEIGHT_MM	TEXT		2	1	Ble Ceiling Plenum Height Mm [ISO 19650-1:2018]	1
PARAM	aa702475-9c87-54f6-9c71-11f91f22f3b0	BLE_CEILING_SYSTEM_TXT	TEXT		2	1	Ble Ceiling System Txt [ISO 19650-1:2018]	1
PARAM	ef3b906d-a286-590a-8c86-533bfd2268c2	BLE_DOOR_ACOUSTIC_RATING_DB	TEXT		2	1	Ble Door Acoustic Rating Db [ISO 19650-1:2018]	1
PARAM	92fa4cba-f817-5ef0-8e5e-e9aeafd3135c	BLE_DOOR_CLOSER_REQUIRED_BOOL	YESNO		2	1	Ble Door Closer Required Bool [ISO 19650-1:2018]	1
PARAM	0c1496c9-bbad-5d9d-90ce-1f9b51624a30	BLE_DOOR_HARDWARE_SPECIFICATION_TXT	TEXT		2	1	Ble Door Hardware Specification Txt [ISO 19650-1:2018]	1
PARAM	88ef6723-f840-5bad-b4ab-404bfe2734ed	BLE_DOOR_MATERIAL_FINISH_TXT	TEXT		2	1	Door material and finish specification [ISO 19650-1:2018]	1
PARAM	e4519d6e-f603-593f-8262-bbbe441bba02	BLE_DOOR_HEIGHT_MM	TEXT		2	1	Ble Door Height Mm [ISO 19650-1:2018]	1
PARAM	62b05126-9f63-5527-8dd5-27191a89ec54	BLE_DOOR_MAT_TXT	TEXT		2	1	Ble Door Mat Txt [ISO 19650-1:2018]	1
PARAM	d009f8bc-c109-5d07-bbdd-e7fb0adb18c7	BLE_DOOR_OPERATION_TYPE_SWING_SLIDE_FOLD_ROLL_TXT	TEXT		2	1	Ble Door Operation Type Swing Slide Fold Roll Txt [ISO 19650-1:2018]	1
PARAM	58472693-b752-5262-bc4c-d3f2e8d533ae	BLE_DOOR_PANIC_HARDWARE_REQUIRED_BOOL	YESNO		2	1	Ble Door Panic Hardware Required Bool [ISO 19650-1:2018]	1
PARAM	6998b63c-2d55-57ac-a8d7-a28f6d3ad4ed	BLE_DOOR_SECURITY_RATING_GRADE_TXT	TEXT		2	1	Ble Door Security Rating Grade Txt [ISO 19650-1:2018]	1
PARAM	80711d71-6a16-4a57-85f9-cd628ac9e924	BLE_DOOR_THRESHOLD_TXT	TEXT		2	1	Door threshold type and specification [ISO 19650-1:2018]	1
PARAM	52fe10d6-2e18-451d-8473-106ce64fd68e	BLE_DOOR_TYPE_TXT	TEXT		2	1	Door type classification (Solid/Glazed/Fire/Acoustic) [ISO 19650-1:2018]	1
PARAM	0fc57b7c-5ae3-5ace-a5b2-5ab7a79493a8	BLE_DOOR_WIDTH_MM	TEXT		2	1	Ble Door Width Mm [ISO 19650-1:2018]	1
PARAM	d31ebc0e-6721-5d60-be6b-5bb5e9bb0f3d	BLE_ELE_AREA_SQ_M	TEXT		2	1	Ble Ele Area Sq M [ISO 19650-1:2018]	0
PARAM	04d8f64c-1464-5e76-a838-73b7d4aefa20	BLE_FINISH_ADHESIVE_WEIGHT_KG	TEXT		2	1	Ble Finish Adhesive Weight Kg [ISO 19650-1:2018]	0
PARAM	f98d9acc-a848-5b49-8621-e6ed638618ac	BLE_FINISH_GROUT_WEIGHT_KG	TEXT		2	1	Ble Finish Grout Weight Kg [ISO 19650-1:2018]	0
PARAM	c56be489-ef1a-51b4-a178-4b7b6dd23571	BLE_FINISH_PAINT_AREA_SQ_M	TEXT		2	1	Ble Finish Paint Area Sq M [ISO 19650-1:2018]	0
PARAM	c87e1dfb-af8d-55d6-9f93-07598b9f4093	BLE_FINISH_PAINT_VOLUME_L	TEXT		2	1	Ble Finish Paint Volume L [ISO 19650-1:2018]	0
