# v2.3 | 20260227 | BIM Template mr_parameters
Revit_Category,Parameter_Name,Parameter_GUID,Data_Type,Group_Name,Binding_Type,Description,Has_Formula,Formula,Input_Parameters,Discipline,User_Modifiable,Hide_When_No_Value
Ceilings,BLE_CEILING_NOISE_REDCTION_COEFFICIENT_NRC_NR,9d7fa63d-6e32-508e-9487-30ed356c33dd,NUMBER,CST_PROC,Type,Ble Ceiling Noise Redction Coefficient Nrc Nr [ISO 19650-1:2018],False,,,COSTING,1,0
Ceilings,BLE_CEILING_PLENUM_HEIGHT_MM,89086f07-8684-5f07-9d15-dcdd19a6bdfd,LENGTH,CST_PROC,Type,Ble Ceiling Plenum Height Mm [ISO 19650-1:2018],False,,,COSTING,1,0
Ceilings,BLE_CEILING_SYSTEM_TXT,aa702475-9c87-54f6-9c71-11f91f22f3b0,TEXT,CST_PROC,Type,Ble Ceiling System Txt [ISO 19650-1:2018],False,,,COSTING,1,0
Doors,BLE_DOOR_ACOUSTIC_RATING_DB,ef3b906d-a286-590a-8c86-533bfd2268c2,NUMBER,CST_PROC,Type,Ble Door Acoustic Rating Db [ISO 19650-1:2018],False,,,COSTING,1,0
Doors,BLE_DOOR_CLOSER_REQUIRED_BOOL,92fa4cba-f817-5ef0-8e5e-e9aeafd3135c,YESNO,CST_PROC,Type,Ble Door Closer Required Bool [ISO 19650-1:2018],False,,,COSTING,1,0
Doors,BLE_DOOR_HARDWARE_SPECIFICATION_TXT,0c1496c9-bbad-5d9d-90ce-1f9b51624a30,TEXT,CST_PROC,Type,Ble Door Hardware Specification Txt [ISO 19650-1:2018],False,,,COSTING,1,0
Doors,BLE_DOOR_HEIGHT_MM,e4519d6e-f603-593f-8262-bbbe441bba02,LENGTH,CST_PROC,Type,Ble Door Height Mm [ISO 19650-1:2018],False,,,COSTING,1,0
Doors,BLE_DOOR_MAT_TXT,62b05126-9f63-5527-8dd5-27191a89ec54,TEXT,CST_PROC,Type,Ble Door Mat Txt [ISO 19650-1:2018],False,,,COSTING,1,0
Doors,BLE_DOOR_OPERATION_TYPE_SWING_SLIDE_FOLD_ROLL_TXT,d009f8bc-c109-5d07-bbdd-e7fb0adb18c7,TEXT,CST_PROC,Type,Ble Door Operation Type Swing Slide Fold Roll Txt [ISO 19650-1:2018],False,,,COSTING,1,0
Doors,BLE_DOOR_PANIC_HARDWARE_REQUIRED_BOOL,58472693-b752-5262-bc4c-d3f2e8d533ae,YESNO,CST_PROC,Type,Ble Door Panic Hardware Required Bool [ISO 19650-1:2018],False,,,COSTING,1,0
Doors,BLE_DOOR_SECURITY_RATING_GRADE_TXT,6998b63c-2d55-57ac-a8d7-a28f6d3ad4ed,TEXT,CST_PROC,Type,Ble Door Security Rating Grade Txt [ISO 19650-1:2018],False,,,COSTING,1,0
Doors,BLE_DOOR_WIDTH_MM,0fc57b7c-5ae3-5ace-a5b2-5ab7a79493a8,LENGTH,CST_PROC,Type,Ble Door Width Mm [ISO 19650-1:2018],False,,,COSTING,1,0
Generic Models,BLE_ELE_AREA_SQ_M,d31ebc0e-6721-5d60-be6b-5bb5e9bb0f3d,AREA,CST_PROC,Type,Ble Ele Area Sq M [ISO 19650-1:2018],True,Width * Height / 1000000,"Width, Height",ARCHITECTURAL,0,0
Generic Models,BLE_FINISH_ADHESIVE_WEIGHT_KG,04d8f64c-1464-5e76-a838-73b7d4aefa20,NUMBER,CST_PROC,Type,Ble Finish Adhesive Weight Kg [ISO 19650-1:2018],True,BLE_FINISH_TILE_AREA_SQ_M * 5.5,BLE_FINISH_TILE_AREA_SQ_M,ARCHITECTURAL,0,1
Generic Models,BLE_FINISH_GROUT_WEIGHT_KG,f98d9acc-a848-5b49-8621-e6ed638618ac,NUMBER,CST_PROC,Type,Ble Finish Grout Weight Kg [ISO 19650-1:2018],True,BLE_FINISH_TILE_AREA_SQ_M * 0.8,BLE_FINISH_TILE_AREA_SQ_M,ARCHITECTURAL,0,1
Generic Models,BLE_FINISH_PAINT_AREA_SQ_M,c56be489-ef1a-51b4-a178-4b7b6dd23571,AREA,CST_PROC,Type,Ble Finish Paint Area Sq M [ISO 19650-1:2018],True,(BLE_WALL_LENGTH_MM * BLE_WALL_HEIGHT_MM / 1000000) * 0.85,"BLE_WALL_LENGTH_MM, BLE_WALL_HEIGHT_MM",ARCHITECTURAL,0,0
Generic Models,BLE_FINISH_PAINT_VOLUME_L,c87e1dfb-af8d-55d6-9f93-07598b9f4093,VOLUME,CST_PROC,Type,Ble Finish Paint Volume L [ISO 19650-1:2018],True,(BLE_FINISH_PAINT_AREA_SQ_M * BLE_FINISH_PAINT_COATS_NR) / 12,"BLE_FINISH_PAINT_AREA_SQ_M, BLE_FINISH_PAINT_COATS_NR",ARCHITECTURAL,0,1
Generic Models,BLE_FINISH_PLASTER_AREA_SQ_M,4afc242e-1975-5d43-aa02-41338779d47a,AREA,CST_PROC,Type,Ble Finish Plaster Area Sq M [ISO 19650-1:2018],True,BLE_ELE_AREA_SQ_M,BLE_ELE_AREA_SQ_M,ARCHITECTURAL,0,0
Generic Models,BLE_FINISH_TILE_AREA_SQ_M,0d076f1e-8962-50e2-9a46-c950b1087444,AREA,CST_PROC,Type,Ble Finish Tile Area Sq M [ISO 19650-1:2018],True,BLE_ELE_AREA_SQ_M * 1.1,BLE_ELE_AREA_SQ_M,ARCHITECTURAL,0,0
Generic Models,BLE_FINISH_TILE_QUANTITY_NR,c2802e8b-60cd-58d9-a1b5-6e92d1a61b33,NUMBER,CST_PROC,Type,Ble Finish Tile Quantity Nr [ISO 19650-1:2018],True,BLE_FINISH_TILE_AREA_SQ_M * 1.1 / (Tile_Width * Tile_Height / 1000000),"BLE_FINISH_TILE_AREA_SQ_M, Tile_Width, Tile_Height",ARCHITECTURAL,0,1
Floors,BLE_FLR_FINISH_MAT_TXT,b3a80a61-ac59-5361-8560-0137487aaec3,TEXT,CST_PROC,Type,Ble Flr Finish Mat Txt [ISO 19650-1:2018],False,,,COSTING,1,0
Floors,BLE_FLR_FINISH_TXT,0d0457b1-3847-5da5-87e9-ac88a720b1c8,TEXT,CST_PROC,Type,Ble Flr Finish Txt [ISO 19650-1:2018],False,,,COSTING,1,0
Floors,BLE_FLR_LD_CAP_KPA,c9176e37-501e-5f2a-b4b4-0b66a37f88b5,VOLUME,CST_PROC,Type,Ble Flr Ld Cap Kpa [ISO 19650-1:2018],False,,,COSTING,1,0
Floors,BLE_FLR_SLIP_RESISTANCE_RATING_NR,8587af48-41e4-551b-b127-47fbfba712da,NUMBER,CST_PROC,Type,Ble Flr Slip Resistance Rating Nr [ISO 19650-1:2018],False,,,COSTING,1,0
Floors,BLE_FLR_STRUCTURAL_SYSTEM_TXT,6fd7e2d6-1471-58dd-9226-6424a5ca3072,TEXT,CST_PROC,Type,Ble Flr Structural System Txt [ISO 19650-1:2018],False,,,COSTING,1,0
Floors,BLE_FLR_THICKNESS_MM,4e849c26-5bfe-5ca2-bb5a-aa39e03e31bb,LENGTH,CST_PROC,Type,Ble Flr Thickness Mm [ISO 19650-1:2018],False,,,COSTING,1,0
Roofs,BLE_ROOF_COVERING_MAT_TXT,eb06ec26-b6f5-5f3a-ad96-b8b39b7d8659,TEXT,CST_PROC,Type,Ble Roof Covering Mat Txt [ISO 19650-1:2018],False,,,COSTING,1,0
Roofs,BLE_ROOF_INS_R_VALUE_M_2K_W,3e3919d0-f25e-59de-83b2-11b60db5b9c5,ELECTRICAL_POWER,CST_PROC,Type,Ble Roof Ins R Value M 2k W [ISO 19650-1:2018],False,,,COSTING,1,0
