# v2.3 | 20260227 | BIM Template category_bindings
Parameter_Name,Revit_Category,Binding_Type,Is_Shared
ASS_CST_TOTAL_UGX_NR,Air Terminals,Type,True
ASS_CST_TOTAL_UGX_NR,Cable Trays,Type,True
ASS_CST_TOTAL_UGX_NR,Casework,Type,True
ASS_CST_TOTAL_UGX_NR,Conduits,Type,True
ASS_CST_TOTAL_UGX_NR,Electrical Equipment,Type,True
ASS_CST_TOTAL_UGX_NR,Electrical Fixtures,Type,True
ASS_CST_TOTAL_UGX_NR,Furniture,Type,True
ASS_CST_TOTAL_UGX_NR,Generic Models,Type,True
ASS_CST_TOTAL_UGX_NR,Lighting Fixtures,Type,True
ASS_CST_TOTAL_UGX_NR,Mechanical Equipment,Type,True
ASS_CST_TOTAL_UGX_NR,Plumbing Equipment,Type,True
ASS_CST_TOTAL_UGX_NR,Plumbing Fixtures,Type,True
ASS_CST_TOTAL_UGX_NR,Specialty Equipment,Type,True
ASS_CST_TOTAL_UGX_NR,Sprinklers,Type,True
ASS_CST_UNIT_PRICE_UGX_NR,Air Terminals,Type,True
ASS_CST_UNIT_PRICE_UGX_NR,Cable Trays,Type,True
ASS_CST_UNIT_PRICE_UGX_NR,Casework,Type,True
ASS_CST_UNIT_PRICE_UGX_NR,Conduits,Type,True
ASS_CST_UNIT_PRICE_UGX_NR,Electrical Equipment,Type,True
ASS_CST_UNIT_PRICE_UGX_NR,Electrical Fixtures,Type,True
ASS_CST_UNIT_PRICE_UGX_NR,Furniture,Type,True
ASS_CST_UNIT_PRICE_UGX_NR,Generic Models,Type,True
ASS_CST_UNIT_PRICE_UGX_NR,Lighting Fixtures,Type,True
ASS_CST_UNIT_PRICE_UGX_NR,Mechanical Equipment,Type,True
ASS_CST_UNIT_PRICE_UGX_NR,Plumbing Equipment,Type,True
ASS_CST_UNIT_PRICE_UGX_NR,Plumbing Fixtures,Type,True
ASS_CST_UNIT_PRICE_UGX_NR,Specialty Equipment,Type,True
ASS_CST_UNIT_PRICE_UGX_NR,Sprinklers,Type,True
ASS_DEPARTMENT_ASSIGNMENT_TXT,Air Terminals,Type,True
ASS_DEPARTMENT_ASSIGNMENT_TXT,Cable Trays,Type,True
ASS_DEPARTMENT_ASSIGNMENT_TXT,Casework,Type,True
ASS_DEPARTMENT_ASSIGNMENT_TXT,Conduits,Type,True
ASS_DEPARTMENT_ASSIGNMENT_TXT,Electrical Equipment,Type,True
ASS_DEPARTMENT_ASSIGNMENT_TXT,Electrical Fixtures,Type,True
ASS_DEPARTMENT_ASSIGNMENT_TXT,Furniture,Type,True
ASS_DEPARTMENT_ASSIGNMENT_TXT,Generic Models,Type,True
ASS_DEPARTMENT_ASSIGNMENT_TXT,Lighting Fixtures,Type,True
ASS_DEPARTMENT_ASSIGNMENT_TXT,Mechanical Equipment,Type,True
ASS_DEPARTMENT_ASSIGNMENT_TXT,Plumbing Equipment,Type,True
ASS_DEPARTMENT_ASSIGNMENT_TXT,Plumbing Fixtures,Type,True
ASS_DEPARTMENT_ASSIGNMENT_TXT,Specialty Equipment,Type,True
ASS_DEPARTMENT_ASSIGNMENT_TXT,Sprinklers,Type,True
ASS_DESCRIPTION_TXT,Air Terminals,Type,True
ASS_DESCRIPTION_TXT,Cable Trays,Type,True
ASS_DESCRIPTION_TXT,Casework,Type,True
ASS_DESCRIPTION_TXT,Ceilings,Type,True
ASS_DESCRIPTION_TXT,Conduits,Type,True
ASS_DESCRIPTION_TXT,Curtain Panels,Type,True
ASS_DESCRIPTION_TXT,Curtain Wall Mullions,Type,True
ASS_DESCRIPTION_TXT,Doors,Type,True
ASS_DESCRIPTION_TXT,Ducts,Type,True
ASS_DESCRIPTION_TXT,Electrical Equipment,Type,True
ASS_DESCRIPTION_TXT,Electrical Fixtures,Type,True
ASS_DESCRIPTION_TXT,Floors,Type,True
ASS_DESCRIPTION_TXT,Furniture,Type,True
ASS_DESCRIPTION_TXT,Generic Models,Type,True
ASS_DESCRIPTION_TXT,Lighting Fixtures,Type,True
ASS_DESCRIPTION_TXT,Mechanical Equipment,Type,True
ASS_DESCRIPTION_TXT,Pipe Accessories,Type,True
ASS_DESCRIPTION_TXT,Pipe Fittings,Type,True
ASS_DESCRIPTION_TXT,Pipes,Type,True
ASS_DESCRIPTION_TXT,Plumbing Equipment,Type,True
ASS_DESCRIPTION_TXT,Plumbing Fixtures,Type,True
