# Parameter->Category binding accuracy audit — generated by gen_audit.py (not verified in Revit)
# BindingBefore = pre-fix runtime binding (group override or ALL element categories)
# BindingAfter  = post-fix runtime binding (universal->ALL; else per-param CATEGORY_BINDINGS.csv; else group override; else GAP=ALL)
Parameter,Prefix,Group,BindingBefore,BindingAfter,OnDuctsBefore,OnDuctsAfter,Flag
BLE_CBL_TRAY_DEPTH_MM,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Cable Trays,N,N,CHANGED
BLE_CBL_TRAY_DEPTH_MM_DISP_TXT,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Cable Trays,N,N,CHANGED
BLE_CBL_TRAY_WIDTH_MM,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Cable Trays,N,N,CHANGED
BLE_CBL_TRAY_WIDTH_MM_DISP_TXT,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Cable Trays,N,N,CHANGED
BLE_CEILING_AREA_SQ_M,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Generic Models,N,N,CHANGED
BLE_CEILING_FIN_TILE_QTY_NR,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Generic Models,N,N,CHANGED
BLE_DOOR_AREA_SQ_M,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Generic Models,N,N,CHANGED
BLE_FLR_AREA_SQ_M,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Generic Models,N,N,CHANGED
BLE_FLR_TILE_QTY_NR,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Generic Models,N,N,CHANGED
BLE_RAMP_HEIGHT_MM,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Generic Models,N,N,CHANGED
BLE_RAMP_LENGTH_MM,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Generic Models,N,N,CHANGED
BLE_STAIR_BALUSTRADE_TYPE_TXT,BLE,BLE_STRUCTURE,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Air Terminals|Ducts|Generic Models|Mechanical Equipment|Duct Fittings|Duct Accessories|Flex Ducts,N,Y,CHANGED
BLE_STAIR_HANDRAIL_MAT_TXT,BLE,BLE_STRUCTURE,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Air Terminals|Ducts|Generic Models|Mechanical Equipment|Duct Fittings|Duct Accessories|Flex Ducts,N,Y,CHANGED
BLE_STAIR_MAT_TXT,BLE,BLE_STRUCTURE,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Air Terminals|Ducts|Generic Models|Mechanical Equipment|Duct Fittings|Duct Accessories|Flex Ducts,N,Y,CHANGED
BLE_STAIR_NOSING_TYPE_TXT,BLE,BLE_STRUCTURE,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Air Terminals|Ducts|Generic Models|Mechanical Equipment|Duct Fittings|Duct Accessories|Flex Ducts,N,Y,CHANGED
BLE_STAIR_PITCH_LINE_MM,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Generic Models,N,N,CHANGED
BLE_STAIR_RISE_GOING_RATIO_NR,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Generic Models,N,N,CHANGED
BLE_STAIR_TREAD_FINISH_TXT,BLE,BLE_STRUCTURE,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Air Terminals|Ducts|Generic Models|Mechanical Equipment|Duct Accessories|Duct Fittings|Flex Ducts,N,Y,CHANGED
BLE_STRUCT_FOUNDATION_DEPTH_MM,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Ceilings|Curtain Panels|Curtain Wall Mullions|Floors|Generic Models|Roofs|Structural Columns|Structural Foundations|Structural Framing|Walls|Windows,N,N,CHANGED
BLE_STRUCT_FOUNDATION_SZ_TXT,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Ceilings|Curtain Panels|Curtain Wall Mullions|Floors|Generic Models|Roofs|Structural Columns|Structural Foundations|Structural Framing|Walls|Windows,N,N,CHANGED
BLE_WINDOW_AREA_SQ_M,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Generic Models,N,N,CHANGED
BLE_WINDOW_WWR_PCT,BLE,BLE_ELES,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Generic Models,N,N,CHANGED
CBL_TYPE_TXT,CBL,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Cable Trays|Conduits|Generic Models|Electrical Equipment|Data Devices|Conduit Fittings|Cable Tray Fittings|Electrical Fixtures|Communication Devices|Security Devices|Nurse Call Devices|Telephone Devices,Y,N,CHANGED
CEQ_CATEGORY_TXT,CEQ,CEQ_CLINICAL,ALL,Specialty Equipment|Mechanical Equipment,Y,N,CHANGED
CEQ_CLINICAL_BOOL,CEQ,CEQ_CLINICAL,ALL,Specialty Equipment|Mechanical Equipment,Y,N,CHANGED
CEQ_DECON_METHOD_TXT,CEQ,CEQ_CLINICAL,ALL,Specialty Equipment|Mechanical Equipment,Y,N,CHANGED
CEQ_ENDO_AER_REF_TXT,CEQ,CEQ_CLINICAL,ALL,Specialty Equipment|Mechanical Equipment,Y,N,CHANGED
CEQ_ENDO_CYCLE_COUNT_INT,CEQ,CEQ_CLINICAL,ALL,Specialty Equipment|Mechanical Equipment,Y,N,CHANGED
CEQ_ENDO_LAST_REPRO_DT,CEQ,CEQ_CLINICAL,ALL,Specialty Equipment|Mechanical Equipment,Y,N,CHANGED
CEQ_ENDO_SCOPE_ID_TXT,CEQ,CEQ_CLINICAL,ALL,Specialty Equipment|Mechanical Equipment,Y,N,CHANGED
CEQ_EQP_TAG,CEQ,CEQ_CLINICAL,ALL,Specialty Equipment|Medical Equipment|Mechanical Equipment,Y,N,CHANGED
CEQ_GMDN_CODE_TXT,CEQ,CEQ_CLINICAL,ALL,Specialty Equipment|Mechanical Equipment,Y,N,CHANGED
CEQ_INFECT_TIER_TXT,CEQ,CEQ_CLINICAL,ALL,Specialty Equipment|Mechanical Equipment,Y,N,CHANGED
CEQ_SFG20_REF_TXT,CEQ,CEQ_CLINICAL,ALL,Specialty Equipment|Mechanical Equipment,Y,N,CHANGED
CEQ_TAG_7_PARA_TXT,CEQ,CEQ_CLINICAL,ALL,Specialty Equipment|Medical Equipment|Mechanical Equipment,Y,N,CHANGED
CEQ_UMDNS_CODE_TXT,CEQ,CEQ_CLINICAL,ALL,Specialty Equipment|Mechanical Equipment,Y,N,CHANGED
CLASH_COUNT_INT,CLASH,CLASH_COORDINATION,Ducts|Pipes|Cable Trays|Conduits|Walls|Floors|Ceilings|Structural Framing|Structural Columns,Walls,Y,N,CHANGED
CLASH_LIVE_FLAG,CLASH,CLASH_COORDINATION,Ducts|Pipes|Cable Trays|Conduits|Walls|Floors|Ceilings|Structural Framing|Structural Columns,Walls,Y,N,CHANGED
CLN_ADB_CODE_TXT,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_ANTERM_LINKED_ID_TXT,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_BARI_DESIGN_KG_NR,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_DEFLECTION_LIMIT_MM_NR,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_DESIGN_ACH_INT,CLN,CLN_CLINICAL,ALL,Rooms|Specialty Equipment|Medical Equipment|Mechanical Equipment,Y,N,CHANGED
CLN_DESIGN_PRESSURE_DELTA_PA_INT,CLN,CLN_CLINICAL,ALL,Rooms|Specialty Equipment|Medical Equipment|Mechanical Equipment,Y,N,CHANGED
CLN_DESIGN_RH_PCT_INT,CLN,CLN_CLINICAL,ALL,Rooms|Specialty Equipment|Medical Equipment|Mechanical Equipment,Y,N,CHANGED
CLN_DESIGN_TEMP_C_DBL,CLN,CLN_CLINICAL,ALL,Rooms|Specialty Equipment|Medical Equipment|Mechanical Equipment,Y,N,CHANGED
CLN_EQP_TAG,CLN,CLN_CLINICAL,ALL,Rooms|Specialty Equipment|Medical Equipment|Mechanical Equipment,Y,N,CHANGED
CLN_EQUIP_WEIGHT_KG_NR,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_FGI_REF_TXT,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_FLOOR_LOAD_KN_M2_NR,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_HBN_REF_TXT,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_HOIST_TRACK_BOOL,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_HTM_REF_TXT,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_INFECT_CLASS_TXT,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_LIGATURE_RES_BOOL,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_LIG_RISK_LVL_TXT,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_MRI_ZONE_INT,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_NOISE_NR_NR,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_NURSECALL_TYPE_TXT,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_OCC_VISITOR_INT,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_PRESS_DELTA_DESIGN_PA_NR,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_PRESS_REGIME_TXT,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_PRIVACY_LVL_TXT,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_RAD_CONTROLLED_BOOL,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_RF_SHIELD_BOOL,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_ROOM_CLASS_TXT,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_ROOM_TAG,CLN,CLN_CLINICAL,ALL,Rooms|Specialty Equipment|Medical Equipment|Mechanical Equipment,Y,N,CHANGED
CLN_RT60_TARGET_S_NR,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_STRUCT_SIGN_OFF_DT,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_STRUCT_SIGN_OFF_TXT,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_TAG_7_PARA_TXT,CLN,CLN_CLINICAL,ALL,Rooms|Specialty Equipment|Medical Equipment|Mechanical Equipment,Y,N,CHANGED
CLN_TRANSPORT_PATH_TXT,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_VIB_VM_NR,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_WASTE_BIN_BIM_ID_TXT,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_WASTE_CLASS_TXT,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
CLN_WASTE_ROUTE_TXT,CLN,CLN_CLINICAL,ALL,Rooms,Y,N,CHANGED
COM_BACKBONE_CAPACITY_TXT,COM,COM_DAT,ALL,Communication Devices|Data Devices,Y,N,CHANGED
COM_BMS_RANGE_TXT,COM,COM_DAT,ALL,Generic Models|Mechanical Equipment|Communication Devices,Y,N,CHANGED
COM_COMMISSION_DATE_TXT,COM,COM_DAT,ALL,Communication Devices|Data Devices,Y,N,CHANGED
COM_COMMISSION_ENGINEER_TXT,COM,COM_DAT,ALL,Communication Devices|Data Devices,Y,N,CHANGED
COM_COMMISSION_STATUS_TXT,COM,COM_DAT,ALL,Communication Devices|Data Devices,Y,N,CHANGED
COM_C_DEV_BACNET_INSTANCE_INT,COM,COM_DAT,ALL,Electrical Equipment|Generic Models|Mechanical Equipment|Nurse Call Devices|Communication Devices|Security Devices|Telephone Devices|Data Devices,Y,N,CHANGED
COM_C_DEV_CONTROLLER_NAME_TXT,COM,COM_DAT,ALL,Electrical Equipment|Generic Models|Mechanical Equipment|Security Devices|Telephone Devices|Communication Devices|Data Devices|Nurse Call Devices,Y,N,CHANGED
COM_C_DEV_TYPE_TXT,COM,COM_DAT,ALL,Electrical Equipment|Generic Models|Mechanical Equipment|Telephone Devices|Communication Devices|Data Devices|Nurse Call Devices|Security Devices,Y,N,CHANGED
COM_C_MEASUREMENT_RANGE_TXT,COM,COM_DAT,ALL,Electrical Equipment|Generic Models|Mechanical Equipment|Security Devices|Telephone Devices|Communication Devices|Data Devices|Nurse Call Devices,Y,N,CHANGED
COM_C_NETWORK_ADDRESS_TXT,COM,COM_DAT,ALL,Electrical Equipment|Generic Models|Mechanical Equipment|Security Devices|Telephone Devices|Data Devices|Nurse Call Devices|Communication Devices,Y,N,CHANGED
COM_C_PANEL_TXT,COM,COM_DAT,ALL,Communication Devices|Data Devices,Y,N,CHANGED
COM_C_PROTOCOL_TXT,COM,COM_DAT,ALL,Electrical Equipment|Generic Models|Mechanical Equipment|Security Devices|Telephone Devices|Data Devices|Nurse Call Devices|Communication Devices,Y,N,CHANGED
COM_C_PWR_SUPPLY_V,COM,COM_DAT,ALL,Electrical Equipment|Generic Models|Mechanical Equipment|Telephone Devices|Data Devices|Nurse Call Devices|Communication Devices|Security Devices,Y,N,CHANGED
COM_DAT_SPARE_01_TXT,COM,COM_DAT,ALL,Generic Models|Communication Devices,Y,N,CHANGED
COM_DAT_SPARE_02_TXT,COM,COM_DAT,ALL,Generic Models|Communication Devices,Y,N,CHANGED
COM_DEV_TAG,COM,COM_DAT,ALL,Communication Devices|Data Devices,Y,N,CHANGED
COM_DEV_TAG_01_TXT,COM,COM_DAT,ALL,Communication Devices|Generic Models,Y,N,CHANGED
COM_FIBER_TYPE_TXT,COM,COM_DAT,ALL,Communication Devices|Data Devices,Y,N,CHANGED
COM_HANDOVER_STATUS_TXT,COM,COM_DAT,ALL,Communication Devices|Data Devices,Y,N,CHANGED
COM_INSTALL_DATE_TXT,COM,COM_DAT,ALL,Communication Devices|Data Devices,Y,N,CHANGED
COM_PROTOCOL_TXT,COM,COM_DAT,ALL,Communication Devices|Data Devices,Y,N,CHANGED
COM_TAG_7_PARA_BMS_TXT,COM,COM_DAT,ALL,Communication Devices|Data Devices,Y,N,CHANGED
COM_TEST_CERT_REF_TXT,COM,COM_DAT,ALL,Communication Devices|Data Devices,Y,N,CHANGED
COM_WARRANTY_START_TXT,COM,COM_DAT,ALL,Communication Devices|Data Devices,Y,N,CHANGED
COMP_MAT_TAG_1_TXT,COMP,MAT_INFO,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Materials,N,N,CHANGED
COMP_MAT_TAG_2_TXT,COMP,MAT_INFO,Walls|Floors|Ceilings|Roofs|Doors|Windows|Columns|Structural Columns|Structural Framing|Structural Foundations|Stairs|Railings|Ramps|Curtain Panels|Curtain Wall Mullions|Casework|Furniture|Furniture Systems|Generic Models|Specialty Equipment,Materials,N,N,CHANGED
CST_CALC_ADHESIVE_KG,CST,COM_DAT,ALL,Air Terminals|Cable Trays|Casework|Ceilings|Conduits|Curtain Panels|Curtain Wall Mullions|Doors|Ducts|Electrical Equipment|Electrical Fixtures|Floors|Furniture|Generic Models|Lighting Fixtures|Mechanical Equipment|Pipe Accessories|Pipe Fittings|Pipes|Plumbing Equipment|Plumbing Fixtures|Ramps|Roofs|Rooms|Specialty Equipment|Sprinklers|Stairs|Walls|Windows|Flex Ducts|Duct Accessories|Duct Fittings|Columns|Curtain Systems|Flex Pipes|Furniture Systems|Medical Equipment|Plumbing Equipment|Railings,Y,Y,CHANGED
CST_CALC_AGGREGATE_M3,CST,COM_DAT,ALL,Air Terminals|Cable Trays|Casework|Ceilings|Conduits|Curtain Panels|Curtain Wall Mullions|Doors|Ducts|Electrical Equipment|Electrical Fixtures|Floors|Furniture|Generic Models|Lighting Fixtures|Mechanical Equipment|Pipe Accessories|Pipe Fittings|Pipes|Plumbing Equipment|Plumbing Fixtures|Ramps|Roofs|Rooms|Specialty Equipment|Sprinklers|Stairs|Walls|Windows|Flex Ducts|Duct Accessories|Duct Fittings|Columns|Curtain Systems|Flex Pipes|Furniture Systems|Medical Equipment|Plumbing Equipment|Railings,Y,Y,CHANGED
CST_CALC_AREA_M2,CST,COM_DAT,ALL,Air Terminals|Cable Trays|Casework|Ceilings|Conduits|Curtain Panels|Curtain Wall Mullions|Doors|Ducts|Electrical Equipment|Electrical Fixtures|Floors|Furniture|Generic Models|Lighting Fixtures|Mechanical Equipment|Pipe Accessories|Pipe Fittings|Pipes|Plumbing Equipment|Plumbing Fixtures|Ramps|Roofs|Rooms|Specialty Equipment|Sprinklers|Stairs|Walls|Windows|Flex Ducts|Duct Accessories|Duct Fittings|Columns|Curtain Systems|Flex Pipes|Furniture Systems|Medical Equipment|Plumbing Equipment|Railings,Y,Y,CHANGED
CST_CALC_BLOCKS_NR,CST,COM_DAT,ALL,Air Terminals|Cable Trays|Casework|Ceilings|Conduits|Curtain Panels|Curtain Wall Mullions|Doors|Ducts|Electrical Equipment|Electrical Fixtures|Floors|Furniture|Generic Models|Lighting Fixtures|Mechanical Equipment|Pipe Accessories|Pipe Fittings|Pipes|Plumbing Equipment|Plumbing Fixtures|Ramps|Roofs|Rooms|Specialty Equipment|Sprinklers|Stairs|Walls|Windows|Flex Ducts|Duct Accessories|Duct Fittings|Columns|Curtain Systems|Flex Pipes|Furniture Systems|Medical Equipment|Plumbing Equipment|Railings,Y,Y,CHANGED
CST_CALC_CEMENT_BAGS_NR,CST,COM_DAT,ALL,Air Terminals|Cable Trays|Casework|Ceilings|Conduits|Curtain Panels|Curtain Wall Mullions|Doors|Ducts|Electrical Equipment|Electrical Fixtures|Floors|Furniture|Generic Models|Lighting Fixtures|Mechanical Equipment|Pipe Accessories|Pipe Fittings|Pipes|Plumbing Equipment|Plumbing Fixtures|Ramps|Roofs|Rooms|Specialty Equipment|Sprinklers|Stairs|Walls|Windows|Flex Ducts|Duct Accessories|Duct Fittings|Columns|Curtain Systems|Flex Pipes|Furniture Systems|Medical Equipment|Plumbing Equipment|Railings,Y,Y,CHANGED
CST_CALC_CEMENT_PLASTER_BAGS,CST,COM_DAT,ALL,Air Terminals|Cable Trays|Casework|Ceilings|Conduits|Curtain Panels|Curtain Wall Mullions|Doors|Ducts|Electrical Equipment|Electrical Fixtures|Floors|Furniture|Generic Models|Lighting Fixtures|Mechanical Equipment|Pipe Accessories|Pipe Fittings|Pipes|Plumbing Equipment|Plumbing Fixtures|Ramps|Roofs|Rooms|Specialty Equipment|Sprinklers|Stairs|Walls|Windows|Flex Ducts|Duct Accessories|Duct Fittings|Columns|Curtain Systems|Flex Pipes|Furniture Systems|Medical Equipment|Plumbing Equipment|Railings,Y,Y,CHANGED
CST_CALC_FASTENERS_NR,CST,COM_DAT,ALL,Air Terminals|Cable Trays|Casework|Ceilings|Conduits|Curtain Panels|Curtain Wall Mullions|Doors|Ducts|Electrical Equipment|Electrical Fixtures|Floors|Furniture|Generic Models|Lighting Fixtures|Mechanical Equipment|Pipe Accessories|Pipe Fittings|Pipes|Plumbing Equipment|Plumbing Fixtures|Ramps|Roofs|Rooms|Specialty Equipment|Sprinklers|Stairs|Walls|Windows|Flex Ducts|Duct Accessories|Duct Fittings|Columns|Curtain Systems|Flex Pipes|Furniture Systems|Medical Equipment|Plumbing Equipment|Railings,Y,Y,CHANGED
CST_CALC_GROUT_KG,CST,COM_DAT,ALL,Air Terminals|Cable Trays|Casework|Ceilings|Conduits|Curtain Panels|Curtain Wall Mullions|Doors|Ducts|Electrical Equipment|Electrical Fixtures|Floors|Furniture|Generic Models|Lighting Fixtures|Mechanical Equipment|Pipe Accessories|Pipe Fittings|Pipes|Plumbing Equipment|Plumbing Fixtures|Ramps|Roofs|Rooms|Specialty Equipment|Sprinklers|Stairs|Walls|Windows|Flex Ducts|Duct Accessories|Duct Fittings|Columns|Curtain Systems|Flex Pipes|Furniture Systems|Medical Equipment|Plumbing Equipment|Railings,Y,Y,CHANGED
CST_CALC_LENGTH_M,CST,COM_DAT,ALL,Air Terminals|Cable Trays|Casework|Ceilings|Conduits|Curtain Panels|Curtain Wall Mullions|Doors|Ducts|Electrical Equipment|Electrical Fixtures|Floors|Furniture|Generic Models|Lighting Fixtures|Mechanical Equipment|Pipe Accessories|Pipe Fittings|Pipes|Plumbing Equipment|Plumbing Fixtures|Ramps|Roofs|Rooms|Specialty Equipment|Sprinklers|Stairs|Walls|Windows|Flex Ducts|Duct Accessories|Duct Fittings|Columns|Curtain Systems|Flex Pipes|Furniture Systems|Medical Equipment|Plumbing Equipment|Railings,Y,Y,CHANGED
CST_CALC_MORTAR_M3,CST,COM_DAT,ALL,Air Terminals|Cable Trays|Casework|Ceilings|Conduits|Curtain Panels|Curtain Wall Mullions|Doors|Ducts|Electrical Equipment|Electrical Fixtures|Floors|Furniture|Generic Models|Lighting Fixtures|Mechanical Equipment|Pipe Accessories|Pipe Fittings|Pipes|Plumbing Equipment|Plumbing Fixtures|Ramps|Roofs|Rooms|Specialty Equipment|Sprinklers|Stairs|Walls|Windows|Flex Ducts|Duct Accessories|Duct Fittings|Columns|Curtain Systems|Flex Pipes|Furniture Systems|Medical Equipment|Plumbing Equipment|Railings,Y,Y,CHANGED
CST_CALC_PAINT_LITERS,CST,COM_DAT,ALL,Air Terminals|Cable Trays|Casework|Ceilings|Conduits|Curtain Panels|Curtain Wall Mullions|Doors|Ducts|Electrical Equipment|Electrical Fixtures|Floors|Furniture|Generic Models|Lighting Fixtures|Mechanical Equipment|Pipe Accessories|Pipe Fittings|Pipes|Plumbing Equipment|Plumbing Fixtures|Ramps|Roofs|Rooms|Specialty Equipment|Sprinklers|Stairs|Walls|Windows|Flex Ducts|Duct Accessories|Duct Fittings|Columns|Curtain Systems|Flex Pipes|Furniture Systems|Medical Equipment|Plumbing Equipment|Railings,Y,Y,CHANGED
CST_CALC_PLASTER_M3,CST,COM_DAT,ALL,Air Terminals|Cable Trays|Casework|Ceilings|Conduits|Curtain Panels|Curtain Wall Mullions|Doors|Ducts|Electrical Equipment|Electrical Fixtures|Floors|Furniture|Generic Models|Lighting Fixtures|Mechanical Equipment|Pipe Accessories|Pipe Fittings|Pipes|Plumbing Equipment|Plumbing Fixtures|Ramps|Roofs|Rooms|Specialty Equipment|Sprinklers|Stairs|Walls|Windows|Flex Ducts|Duct Accessories|Duct Fittings|Columns|Curtain Systems|Flex Pipes|Furniture Systems|Medical Equipment|Plumbing Equipment|Railings,Y,Y,CHANGED
