"Name","CreatedBy","CreatedOn","SheetName","ParentName","ChildNames","AssemblyType","Description"
"Assembly-Wall-Interior - 182mm Partition (1-hr)","del","2026-03-20","Type","Walls: Interior - 182mm Partition (1-hr)","Gypsum Wall Board,Metal Stud Layer,Gypsum Wall Board","Fixed","Wall: Interior - 182mm Partition (1-hr), 182mm total, Layers: Gypsum Wall Board (16mm, Thermal) + Metal Stud Layer (150mm, Thermal) + Gypsum Wall Board (16mm, Thermal)"
"Assembly-Wall-M_Exterior - Wood Siding on Wood Stud","del","2026-03-20","Type","Walls: M_Exterior - Wood Siding on Wood Stud","Siding, Clapboard,Air,Plywood, Sheathing,Softwood, Lumber,Vapor Retarder,Gypsum Wall Board","Fixed","Wall: M_Exterior - Wood Siding on Wood Stud, 184mm total, Layers: Siding, Clapboard (19mm, Thermal) + Air (0mm, Thermal) + Plywood, Sheathing (12mm, Thermal) + Softwood, Lumber (140mm, Thermal) + Vapor Retarder (0mm, Thermal) + Gypsum Wall Board (12mm, Thermal)"
"Assembly-Wall-M_Exterior - Wood Shingle on Wood Stud","del","2026-03-20","Type","Walls: M_Exterior - Wood Shingle on Wood Stud","Wood Shake,Air,Plywood, Sheathing,Softwood, Lumber,Vapor Retarder,Gypsum Wall Board","Fixed","Wall: M_Exterior - Wood Shingle on Wood Stud, 181mm total, Layers: Wood Shake (16mm, Thermal) + Air (0mm, Thermal) + Plywood, Sheathing (12mm, Thermal) + Softwood, Lumber (140mm, Thermal) + Vapor Retarder (0mm, Thermal) + Gypsum Wall Board (12mm, Thermal)"
"Assembly-Wall-Interior - 114mm Partition","del","2026-03-20","Type","Walls: Interior - 114mm Partition","Gypsum Wall Board,Softwood, Lumber,Gypsum Wall Board","Fixed","Wall: Interior - 114mm Partition, 114mm total, Layers: Gypsum Wall Board (12mm, Thermal) + Softwood, Lumber (89mm, Thermal) + Gypsum Wall Board (12mm, Thermal)"
"Assembly-Wall-Interior - 125mm Partition","del","2026-03-20","Type","Walls: Interior - 125mm Partition","Gypsum Wall Board,Metal Stud Layer,Gypsum Wall Board","Fixed","Wall: Interior - 125mm Partition, 125mm total, Layers: Gypsum Wall Board (12mm, Thermal) + Metal Stud Layer (100mm, Thermal) + Gypsum Wall Board (12mm, Thermal)"
"Assembly-Wall-M_Exterior - Wood Shingle over Wood Siding on Wood Stud","del","2026-03-20","Type","Walls: M_Exterior - Wood Shingle over Wood Siding on Wood Stud","Wood Shake,Siding, Clapboard,Air,Plywood, Sheathing,Softwood, Lumber,Vapor Retarder,Gypsum Wall Board","Fixed","Wall: M_Exterior - Wood Shingle over Wood Siding on Wood Stud, 191mm total, Layers: Wood Shake (16mm, Thermal) + Siding, Clapboard (16mm, Thermal) + Air (0mm, Thermal) + Plywood, Sheathing (19mm, Thermal) + Softwood, Lumber (140mm, Thermal) + Vapor Retarder (0mm, Thermal) + Gypsum Wall Board (16mm, Thermal)"
"Assembly-Wall-M_Exterior - Split Face CMU","del","2026-03-20","Type","Walls: M_Exterior - Split Face CMU","Concrete Masonry Units,Metal Furring,Gypsum Wall Board","Fixed","Wall: M_Exterior - Split Face CMU, 257mm total, Layers: Concrete Masonry Units (190mm, Thermal) + Metal Furring (51mm, Thermal) + Gypsum Wall Board (16mm, Thermal)"
"Assembly-Wall-M_Exterior - Insulated Metal Panel","del","2026-03-20","Type","Walls: M_Exterior - Insulated Metal Panel","Metal Panel,Metal Furring,Metal Stud Layer,Vapor Retarder,Gypsum Wall Board","Fixed","Wall: M_Exterior - Insulated Metal Panel, 287mm total, Layers: Metal Panel (70mm, Thermal) + Metal Furring (51mm, Thermal) + Metal Stud Layer (150mm, Thermal) + Vapor Retarder (0mm, Thermal) + Gypsum Wall Board (16mm, Thermal)"
"Assembly-Floor-Concrete 100mm w VCT","del","2026-03-20","Type","Floors: Concrete 100mm w VCT","Vinyl Composition Tile,Concrete, Cast-in-Place gray","Fixed","Floor: Concrete 100mm w VCT, 106mm total, 2 layers"
"Assembly-Floor-Wood Joist 235mm - Wood Finish","del","2026-03-20","Type","Floors: Wood Joist 235mm - Wood Finish","Oak Flooring,Plywood, Sheathing,Structure, Wood Joist/Rafter Layer","Fixed","Floor: Wood Joist 235mm - Wood Finish, 273mm total, 3 layers"
"Assembly-Floor-Wood Truss  Joist 286mm - Carpet Finish","del","2026-03-20","Type","Floors: Wood Truss  Joist 286mm - Carpet Finish","Carpet (1),Plywood, Sheathing,Structure, Wood Joist/Rafter Layer","Fixed","Floor: Wood Truss  Joist 286mm - Carpet Finish, 307mm total, 3 layers"
"Assembly-Floor-Wood Joist 235mm - Ceramic Tile","del","2026-03-20","Type","Floors: Wood Joist 235mm - Ceramic Tile","Tile, Mosaic, Gray,Cementitious Backer Board,Plywood, Sheathing,Structure, Wood Joist/Rafter Layer","Fixed","Floor: Wood Joist 235mm - Ceramic Tile, 271mm total, 4 layers"
"Assembly-Floor-Steel Bar Joist 350mm - Concrete 75mm w VCT","del","2026-03-20","Type","Floors: Steel Bar Joist 350mm - Concrete 75mm w VCT","Vinyl Composition Tile,Concrete, Lightweight,Metal Deck,Structure, Steel Bar Joist Layer","Fixed","Floor: Steel Bar Joist 350mm - Concrete 75mm w VCT, 434mm total, 4 layers"
